Date1,Date2,Site ,Chl-a 1 (µg/L),Chl-a 2 (µg/L),Chl-a blank (µg/L) ,Corrected Chl-a 1 (µg/L),Corrected Chl-a 2 (µg/L),Chl-a Volume Filtered (mL),Chl-a 1 (mg/m^3),Chl-a 2 (mg/m^3),Value,Std. Dev,Std. Error,Variable
20170307S2,3/7/2017,S2,13.84,13.81,-0.8,14.64,14.61,10,7.32,7.305,7.3125,0.010606602,0.0075,chloro
20170404S2,4/4/2017,S2,10.23,10.13,-0.8,11.03,10.93,10,5.515,5.465,5.49,0.035355339,0.025,chloro
20170503S2,5/3/2017,S2,7.8,7.68,-0.8,8.6,8.48,10,4.3,4.24,4.27,0.042426407,0.03,chloro
20170602S2,6/2/2017,S2,27.74,27.04,-2,29.74,29.04,10,14.87,14.52,14.695,0.247487373,0.175,chloro
20170715S2,7/15/2017,S2,40.55,42.55,-2.21,42.76,44.76,10,21.38,22.38,21.88,0.707106781,0.5,chloro
20170804S2,8/4/2018,S2,24.89,23.83,-2.21,27.1,26.04,3,45.16666667,43.4,44.28333333,1.24922198,0.883333333,chloro
20170905S2,9/5/2017,S2,31.96,31.76,-2.12,34.08,33.88,5,34.08,33.88,33.98,0.141421356,0.1,chloro
20171004S2,10/4/2017,S2,22.13,22.65,-2,24.13,24.65,5,24.13,24.65,24.39,0.367695526,0.26,chloro
20171116S2,11/16/2017,S2,25.47,26.39,-3.82,29.29,30.21,8,18.30625,18.88125,18.59375,0.406586399,0.2875,chloro
20171215S2,12/15/2017,S2,10,9.51,-3.82,13.82,13.33,25,2.764,2.666,2.715,0.069296465,0.049,chloro
20180104S2,1/4/2018,S2,40.86,42.33,-3.16,44.02,45.49,50,4.402,4.549,4.4755,0.103944697,0.0735,chloro
20180221S2,2/21/2018,S2,47.4,53.72,-3.16,50.56,56.88,150,1.685333333,1.896,1.790666667,0.148963829,0.105333333,chloro
20180312S2,3/12/2018,S2,79.87,78.31,-2.35,82.22,80.66,110,6.727090909,6.599454545,6.663272727,0.090252538,0.063818182,chloro
20180329S2,3/29/2018,S2,49.92,55.19,-2.35,52.27,57.54,100,4.7043,5.1786,4.94145,0.335380746,0.23715,chloro
