id,Organism,Count_Type,Cell_Number,Count_Number,Volume,Class,Cell_Volume
20170307S,Dinoflag ,stripe,10,2,10,Flagelletes,883.546875
20170307S,Cent_Dia,stripe,171.5,2,10,Diatoms,58.903125
20170307S,Crypt,stripe,47.5,2,10,Cryptophytes,209.4333333
20170307S,Eug,stripe,29.5,2,10,Euglenoids,2094.333333
20170307S,Platy,stripe,10,2,10,Chlorophytes,268.0746667
20170307S,Chloro,stripe,18,2,10,Chlorophytes,268.0746667
20170307S,Prymn1_2,stripe,35.5,2,10,Prymnesiophytes,1.76709375
20170307S,Prymn2_3,stripe,172.5,2,10,Prymnesiophytes,8.180989583
20170307S,Prymn3_5,stripe,265,2,10,Prymnesiophytes,33.50933333
20170307S,Prymn_5,stripe,20.5,2,10,Prymnesiophytes,220.8867188
20170307S,Chrysochrom,stripe,19.5,2,10,Prymnesiophytes,33.50933333
20170307S,Cyano,large_square,423.57,10,10,Filamentous_Cyanbacteria,115.450125
20170307S,Syn,large_square,93,10,10,Synechococcus,0.523583333
20170404S,Dinoflag ,stripe,1,2,5,Flagelletes,883.546875
20170404S,Cent_Dia,stripe,162,2,5,Diatoms,58.903125
20170404S,Crypt,stripe,48,2,5,Cryptophytes,209.4333333
20170404S,Eug,stripe,8,2,5,Euglenoids,2094.333333
20170404S,Platy,stripe,9,2,5,Chlorophytes,268.0746667
20170404S,Chloro,stripe,14,2,5,Chlorophytes,268.0746667
20170404S,Prymn1_2,stripe,2,2,5,Prymnesiophytes,1.76709375
20170404S,Prymn2_3,stripe,361,2,5,Prymnesiophytes,8.180989583
20170404S,Prymn3_5,stripe,658,2,5,Prymnesiophytes,33.50933333
20170404S,Prymn_5,stripe,52,2,5,Prymnesiophytes,220.8867188
20170404S,Chrysochrom,stripe,169,2,5,Prymnesiophytes,33.50933333
20170404S,Cyano,large_square,4.29,5,5,Filamentous_Cyanbacteria,115.450125
20170404S,Syn,large_square,300,5,5,Synechococcus,0.523583333
20170503S,Dinoflag ,stripe,25,2,5,Flagelletes,883.546875
20170503S,Dinoflag,stripe,32,2,5,Flagelletes,883.546875
20170503S,Pen_Dia,stripe,49,2,5,Diatoms,323.9671875
20170503S,Cent_Dia,stripe,117,2,5,Diatoms,58.903125
20170503S,Crypt,stripe,45,2,5,Cryptophytes,209.4333333
20170503S,Eug,stripe,8,2,5,Euglenoids,2094.333333
20170503S,Platy,stripe,13,2,5,Chlorophytes,268.0746667
20170503S,Prymn2_3,stripe,200,2,5,Prymnesiophytes,8.180989583
20170503S,Prymn_5,stripe,149,2,5,Prymnesiophytes,220.8867188
