Date1,Date2,Site ,TSS Volume Filtered (mL),TSS weight A (mg),TSS weight B (mg),TSS A (mg/L),TSS B (mg/L),Value,Std. Dev,Std. Error,Variable
20170406P1,4/6/2017,P1,250,0.24,0.195,0.96,0.78,0.87,0.127279221,0.09,TSS
20170504P1,5/4/2017,P1,250,0.32,0.26,1.28,1.04,1.16,0.169705627,0.12,TSS
20170601P1,6/1/2017,P1,250,0.63,0.57,2.52,2.28,2.4,0.169705627,0.12,TSS
20170713P1,7/13/2017,P1,250,0.73,0.755,2.92,3.02,2.97,0.070710678,0.05,TSS
20170803P1,8/3/2017,P1,250,0.53,0.39,2.12,1.56,1.84,0.395979797,0.28,TSS
20170907P1,9/7/2017,P1,200,0.225,0.2,1.125,1,1.0625,0.088388348,0.0625,TSS
20171003P1,10/3/2017,P1,250,0.35,0.335,1.4,1.34,1.37,0.042426407,0.03,TSS
20171206P1,12/6/2017,P1,250,0.6,0.64,2.4,2.56,2.48,0.113137085,0.08,TSS
20180124P1,1/24/2018,P1,200,0.25,0.185,1.25,0.925,1.0875,0.229809704,0.1625,TSS
20180207P1,2/7/2018,P1,200,0.47,0.595,2.35,2.975,2.6625,0.441941738,0.3125,TSS
20180321P1,3/21/2018,P1,250,0.355,0.37,1.42,1.48,1.45,0.042426407,0.03,TSS
20180207B1,2/7/2018,B1,150,0.43,0.425,2.866666667,2.833333333,2.85,0.023570226,0.016666667,TSS
20180321B1,3/21/2018,B1,150,4.09,4.07,27.26666667,27.13333333,27.2,0.094280904,0.066666667,TSS
