Date1,Date2,Site ,TSS Volume Filtered (mL),TSS weight A (mg),TSS weight B (mg),TSS A (mg/L),TSS B (mg/L),Value,Std. Dev,Std. Error,Variable
20170307S2,3/7/2017,S2,125,0.22,0.23,1.76,1.84,1.8,0.056568542,0.04,TSS
20170404S2,4/4/2017,S2,125,0.305,0.28,2.44,2.24,2.34,0.141421356,0.1,TSS
20170503S2,5/3/2017,S2,125,0.495,0.53,3.96,4.24,4.1,0.197989899,0.14,TSS
20170602S2,6/2/2017,S2,125,0.565,0.52,4.52,4.16,4.34,0.254558441,0.18,TSS
20170715S2,7/15/2017,S2,150,0.75,0.695,5,4.633333333,4.816666667,0.259272486,0.183333333,TSS
20170804S2,8/4/2018,S2,150,0.92,0.83,6.133333333,5.533333333,5.833333333,0.424264069,0.3,TSS
20170905S2,9/5/2017,S2,150,0.85,0.83,5.666666667,5.533333333,5.6,0.094280904,0.066666667,TSS
20171004S2,10/4/2017,S2,125,0.485,0.565,3.88,4.52,4.2,0.45254834,0.32,TSS
20171116S2,11/16/2017,S2,130,0.305,0.23,2.346153846,1.769230769,2.057692308,0.40794622,0.288461538,TSS
20171215S2,12/15/2017,S2,150,0.21,0.27,1.4,1.8,1.6,0.282842712,0.2,TSS
20180104S2,1/4/2018,S2,150,0.165,0.175,1.1,1.166666667,1.133333333,0.047140452,0.033333333,TSS
20180221S2,2/21/2018,S2,150,0.41,0.49,2.733333333,3.266666667,3,0.377123617,0.266666667,TSS
20180312S2,3/12/2018,S2,150,0.4,0.335,2.666666667,2.233333333,2.45,0.306412939,0.216666667,TSS
20180329S2,3/29/2018,S2,200,0.305,0.29,1.525,1.45,1.4875,0.053033009,0.0375,TSS
