"","Date","Site","Sat","LINEAGEQA","LINEAGEQA1","PIXELQA","PIXELQA1","RADSATQA","RADSATQA1","SRAEROSOLQA","SRATMOSOPACITYQA","SRATMOSOPACITYQA1","SRB1","SRB11","SRB2","SRB21","SRB3","SRB31","SRB4","SRB41","SRB5","SRB51","SRB6","SRB7","SRB71","SRCLOUDQA","SRCLOUDQA1","SatDate"
"1",2007-01-01,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,471,NA,635,NA,443,NA,154,NA,73,NA,NA,18.5,NA,32,NA,2007-01-01
"2",2007-01-17,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,492.5,NA,709,NA,567.5,NA,182,NA,105,NA,NA,55,NA,32,NA,2007-01-17
"3",2007-01-26,"B1",7,2,NA,68,NA,0,NA,NA,9,NA,492,NA,541,NA,377,NA,126,NA,68,NA,NA,71,NA,32,NA,2007-01-26
"4",2007-02-02,"B1",7,1,NA,192,NA,0,NA,NA,8,NA,831.5,NA,1024.5,NA,898,NA,828.5,NA,988.5,NA,NA,898.5,NA,32,NA,2007-02-02
"5",2007-02-27,"B1",7,2,NA,68,NA,0,NA,NA,28,NA,312.5,NA,343.5,NA,208.5,NA,135,NA,65,NA,NA,55,NA,32,NA,2007-02-27
"6",2007-03-15,"B1",7,2,NA,68,NA,0,NA,NA,16.5,NA,354,NA,473,NA,243,NA,141.5,NA,60,NA,NA,24,NA,32,NA,2007-03-15
"7",2007-03-31,"B1",7,2,NA,68,NA,0,NA,NA,39.5,NA,288,NA,351,NA,199.5,NA,120,NA,52.5,NA,NA,46,NA,32,NA,2007-03-31
"8",2007-04-07,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,340,NA,392,NA,260,NA,162.5,NA,65,NA,NA,57,NA,36,NA,2007-04-07
"9",2007-04-16,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-04-16
"10",2007-05-02,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-05-02
"11",2007-05-09,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,306,NA,382,NA,252,NA,196,NA,124,NA,NA,107,NA,34,NA,2007-05-09
"12",2007-05-18,"B1",7,2,NA,68,NA,0,NA,NA,25,NA,501.5,NA,571.5,NA,391.5,NA,333,NA,219,NA,NA,140.5,NA,40,NA,2007-05-18
"13",2007-05-25,"B1",7,1,NA,96,NA,0,NA,NA,16,NA,667,NA,782.5,NA,625.5,NA,648,NA,593.5,NA,NA,490.5,NA,2,NA,2007-05-25
"14",2007-06-03,"B1",7,2,NA,68,NA,0,NA,NA,45,NA,465,NA,450.5,NA,281,NA,253,NA,151.5,NA,NA,105,NA,36,NA,2007-06-03
"15",2007-06-19,"B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2007-06-19
"16",2007-06-26,"B1",7,1,NA,68,NA,0,NA,NA,9,NA,400.5,NA,549,NA,287,NA,144,NA,102,NA,NA,63.5,NA,32,NA,2007-06-26
"17",2007-07-12,"B1",7,1,NA,68,NA,0,NA,NA,8,NA,425.5,NA,531.5,NA,382.5,NA,289.5,NA,233,NA,NA,198.5,NA,32,NA,2007-07-12
