"","Site","Sat","LINEAGEQA","LINEAGEQA1","PIXELQA","PIXELQA1","RADSATQA","RADSATQA1","SRAEROSOLQA","SRATMOSOPACITYQA","SRATMOSOPACITYQA1","SRB1","SRB11","SRB2","SRB21","SRB3","SRB31","SRB4","SRB41","SRB5","SRB51","SRB6","SRB7","SRB71","SRCLOUDQA","SRCLOUDQA1","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"1","B1",8,2,NA,324,NA,0,NA,68,NA,NA,284.5,NA,391.5,NA,293,NA,133,NA,76.5,NA,76.5,58.5,NA,NA,NA,2017-04-03,7.065,6.6,2017-04-04,1
"2","B1",7,1,NA,68,NA,0,NA,NA,9,NA,290,NA,446.5,NA,319.5,NA,193,NA,70.5,NA,NA,41,NA,36,NA,2017-05-04,86.1,12.12,2017-05-04,0
"3","B1",8,1,NA,324,NA,0,NA,68,NA,NA,164,NA,210,NA,117.5,NA,39,NA,32.5,NA,32.5,24,NA,NA,NA,2017-10-03,20.8275,3.388888889,2017-10-03,0
"4","B1",8,1,NA,324,NA,0,NA,68,NA,NA,332,NA,454,NA,259,NA,45,NA,25.5,NA,25.5,21,NA,NA,NA,2017-12-06,7.62,4.230769231,2017-12-06,0
"5","B1",8,1,NA,324,NA,0,NA,68,NA,NA,272.5,NA,434,NA,212.5,NA,27,NA,33.5,NA,33.5,35,NA,NA,NA,2018-01-23,5.286666667,3.233333333,2018-01-23,0
"6","B1",8,1,NA,324,NA,0,NA,68,NA,NA,214.5,NA,297,NA,132,NA,30,NA,27,NA,27,24,NA,NA,NA,2018-02-08,10.17666667,2.85,2018-02-07,1
"7","P1",7,1,NA,68,NA,0,NA,NA,8.33333333333333,NA,366,NA,389.666666666667,NA,331,NA,305.333333333333,NA,220.666666666667,NA,NA,205.666666666667,NA,36,NA,2017-05-04,2.78625,1.16,2017-05-04,0
"8","P1",8,1,NA,324,NA,0,NA,68,NA,NA,266.666666666667,NA,237.666666666667,NA,139.333333333333,NA,86.3333333333333,NA,66.6666666666667,NA,66.6666666666667,58.6666666666667,NA,NA,NA,2017-10-03,3.304166667,1.37,2017-10-03,0
"9","P1",8,1,NA,324,NA,0,NA,68,NA,NA,324,NA,303.333333333333,NA,164.666666666667,NA,82.3333333333333,NA,60.6666666666667,NA,60.6666666666667,49,NA,NA,NA,2017-12-06,2.11275,2.48,2017-12-06,0
"10","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-01-24,1.48175,1.0875,2018-01-24,0
"11","P1",8,1,NA,324,NA,0,NA,68,NA,NA,244,NA,214.333333333333,NA,75.6666666666667,NA,19,NA,17.3333333333333,NA,17.3333333333333,13.3333333333333,NA,NA,NA,2018-02-08,2.63375,2.6625,2018-02-07,1
"12","P4",8,1,NA,324,NA,0,NA,68,NA,NA,185.5,NA,210,NA,64.5,NA,12.5,NA,9,NA,9,9.5,NA,NA,NA,2017-03-09,3.58825,3.195,2017-03-08,1
"13","P4",7,1,NA,68,NA,0,NA,NA,8,NA,228,NA,243,NA,147.5,NA,141,NA,70,NA,NA,84.5,NA,32,NA,2017-05-04,7.740625,1.57,2017-05-04,0
"14","P4",8,1,NA,324,NA,0,NA,68,NA,NA,274.5,NA,245,NA,140,NA,80,NA,66,NA,66,55.5,NA,NA,NA,2017-10-03,3.151666667,1.24,2017-10-03,0
"15","P4",8,1,NA,324,NA,0,NA,68,NA,NA,297.5,NA,289.5,NA,146.5,NA,50,NA,31,NA,31,20,NA,NA,NA,2017-12-06,1.31825,1.82,2017-12-06,0
"16","P4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2018-01-24,1.7255,1.6125,2018-01-24,0
"17","P4",8,1,NA,324,NA,0,NA,68,NA,NA,228.5,NA,191.5,NA,70,NA,13.5,NA,16,NA,16,12,NA,NA,NA,2018-02-08,2.2475,0.9375,2018-02-07,1
"18","S1",8,2,NA,324,NA,0,NA,68,NA,NA,330,NA,342.666666666667,NA,260.333333333333,NA,249.333333333333,NA,205,NA,205,168.333333333333,NA,NA,NA,2017-04-03,6.9,2.36,2017-04-04,1
"19","S1",7,2,NA,68,NA,0,NA,NA,8,NA,431,NA,487.666666666667,NA,417.333333333333,NA,374.333333333333,NA,284,NA,NA,227,NA,40,NA,2017-05-04,4.7775,4,2017-05-03,1
"20","S1",8,2,NA,324,NA,0,NA,68,NA,NA,232.666666666667,NA,346.333333333333,NA,229,NA,155,NA,130,NA,130,106,NA,NA,NA,2017-07-15,19.7325,4.166666667,2017-07-15,0
"21","S1",7,2,NA,68,NA,0,NA,NA,9,NA,273.666666666667,NA,283,NA,198.666666666667,NA,168,NA,73.3333333333333,NA,NA,69,NA,37.3333333333333,NA,2017-10-04,25.755,4.48,2017-10-04,0
"22","S1",8,2,NA,324,NA,0,NA,68,NA,NA,236.666666666667,NA,199.666666666667,NA,130,NA,67,NA,39,NA,39,29.3333333333333,NA,NA,NA,2017-12-15,2.639,1.283333333,2017-12-15,0
"23","S2",7,2,NA,68,NA,0,NA,NA,8,NA,293,NA,430,NA,318,NA,262,NA,207.666666666667,NA,NA,157,NA,36,NA,2007-05-09,13.51106161,5.0390625,2007-05-09,0
"24","S2",7,2,NA,68,NA,0,NA,NA,65,NA,312.666666666667,NA,263.666666666667,NA,297.666666666667,NA,289.666666666667,NA,250.333333333333,NA,NA,189.333333333333,NA,10.6666666666667,NA,2007-10-09,12.02398359,1.67,2007-10-09,0
"25","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2007-12-03,5.020110033,2,2007-12-04,1
"26","S2",8,2,NA,324,NA,0,NA,100,NA,NA,384.666666666667,NA,438.666666666667,NA,354,NA,379,NA,364,NA,364,306.666666666667,NA,NA,NA,2017-04-03,5.49,2.34,2017-04-04,1
"27","S2",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-05-04,4.27,4.1,2017-05-03,1
"28","S2",8,2,NA,342.666666666667,NA,0,NA,68,NA,NA,690.666666666667,NA,849.333333333333,NA,781.666666666667,NA,740,NA,733.333333333333,NA,733.333333333333,576.666666666667,NA,NA,NA,2017-07-15,21.88,4.816666667,2017-07-15,0
"29","S2",7,2,NA,68,NA,0,NA,NA,8,NA,302,NA,306.333333333333,NA,239.666666666667,NA,237,NA,124.666666666667,NA,NA,123,NA,40,NA,2017-10-04,24.39,4.2,2017-10-04,0
"30","S2",8,2,NA,324,NA,0,NA,68,NA,NA,259,NA,236.333333333333,NA,155,NA,95,NA,88.3333333333333,NA,88.3333333333333,81.6666666666667,NA,NA,NA,2017-12-15,2.715,1.6,2017-12-15,0
"31","S5",8,2,NA,324,NA,0,NA,68,NA,NA,369,NA,362.5,NA,283,NA,284.5,NA,218,NA,218,181,NA,NA,NA,2017-04-03,6.015,2.2,2017-04-04,1
"32","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-05-04,4.27,3.24,2017-05-03,1
"33","S5",8,2,NA,480,NA,0,NA,8,NA,NA,791,NA,961,NA,901.5,NA,865.5,NA,801.5,NA,801.5,652,NA,NA,NA,2017-07-15,22.405,3.5,2017-07-15,0
"34","S5",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2017-10-04,25.65,2.9,2017-10-04,0
"35","S5",8,2,NA,324,NA,0,NA,68,NA,NA,240.5,NA,205.5,NA,134,NA,71,NA,46.5,NA,46.5,31.5,NA,NA,NA,2017-12-15,2.967,1.583333333,2017-12-15,0
