"","B1","P1","P4","S1","S2","S5"
"LC08_CU_007013_20151108_20171017_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20151108_20171017_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20151108_20171017_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20151108_20171017_C01_V01_SRAEROSOLQA",68,NA,NA,68,68,68
"LC08_CU_007013_20151108_20171017_C01_V01_SRB1",252,NA,NA,235,271,240.5
"LC08_CU_007013_20151108_20171017_C01_V01_SRB2",231.5,NA,NA,213.666666666667,254.333333333333,216.5
"LC08_CU_007013_20151108_20171017_C01_V01_SRB3",261,NA,NA,181.333333333333,226.666666666667,189
"LC08_CU_007013_20151108_20171017_C01_V01_SRB4",164.5,NA,NA,110,154.333333333333,114.5
"LC08_CU_007013_20151210_20171017_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20151210_20171017_C01_V01_PIXELQA",324,NA,NA,882.666666666667,928,904
"LC08_CU_007013_20151210_20171017_C01_V01_RADSATQA",0,NA,NA,0,0,0
"LC08_CU_007013_20151210_20171017_C01_V01_SRAEROSOLQA",68,NA,NA,8,8,8
"LC08_CU_007013_20151210_20171017_C01_V01_SRB1",194,NA,NA,933.333333333333,984.333333333333,966.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB2",264.5,NA,NA,925.666666666667,979.666666666667,951.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB3",404.5,NA,NA,938.666666666667,1016.33333333333,976.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB4",253,NA,NA,895.333333333333,982.333333333333,934.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB5",111.5,NA,NA,1059.66666666667,1143.33333333333,1090.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB6",109,NA,NA,1085.66666666667,1175.66666666667,1123.5
"LC08_CU_007013_20151210_20171017_C01_V01_SRB7",101,NA,NA,995.666666666667,1055.33333333333,1013
"LC08_CU_007013_20160102_20171018_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LC08_CU_007013_20160102_20171018_C01_V01_PIXELQA",324,324,324,324,324,324
"LC08_CU_007013_20160102_20171018_C01_V01_RADSATQA",0,0,0,0,0,0
"LC08_CU_007013_20160102_20171018_C01_V01_SRAEROSOLQA",68,68,68,68,68,68
"LC08_CU_007013_20160102_20171018_C01_V01_SRB1",263,203,249,20.3333333333333,51.3333333333333,20
"LC08_CU_007013_20160102_20171018_C01_V01_SRB2",313,194.666666666667,247.5,78.3333333333333,110,91.5
"LC08_CU_007013_20160102_20171018_C01_V01_SRB3",480,154.666666666667,226,146.666666666667,185.333333333333,159.5
"LC08_CU_007013_20160102_20171018_C01_V01_SRB4",258.5,44,65,62.3333333333333,107.666666666667,66.5
"LC08_CU_007013_20160102_20171018_C01_V01_SRB5",54,3,NA,18.3333333333333,61.3333333333333,21.5
"LC08_CU_007013_20160102_20171018_C01_V01_SRB6",54,15.6666666666667,11.5,32,79.3333333333333,35
"LC08_CU_007013_20160102_20171018_C01_V01_SRB7",51.5,14.3333333333333,11,26.6666666666667,72,26.5
"LC08_CU_007013_20160127_20171018_C01_V01_LINEAGEQA",2,NA,NA,2,2,2
"LC08_CU_007013_20160127_20171018_C01_V01_PIXELQA",324,NA,NA,324,324,324
"LC08_CU_007013_20160127_20171018_C01_V01_RADSATQA",0,NA,NA,0,0,0
