"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"1","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-07-07,2.863594485,1.445,2008-07-08,1
"2","B1",7,2,68,0,NA,9,295.5,258,153.5,93.5,44,NA,60.5,36,2008-09-09,3.938470091,1.14375,2008-09-08,1
"3","B1",7,1,68,0,NA,9,409,604,386,151,27,NA,NA,32,2008-11-03,NA,4.25,2008-11-04,1
"4","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-11-12,2.433603857,NA,2008-11-11,1
"5","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-01-06,1.678137059,6.9,2009-01-06,0
"6","B1",7,1,68,0,NA,8,202.5,262,155,169,61,NA,64.5,36,2009-03-11,NA,3.3125,2009-03-12,1
"7","B1",8,2,324,0,68,NA,284.5,391.5,293,133,76.5,76.5,58.5,NA,2017-04-03,7.065,6.6,2017-04-04,1
"8","B1",7,1,68,0,NA,9,290,446.5,319.5,193,70.5,NA,41,36,2017-05-04,86.1,12.12,2017-05-04,0
"9","B1",8,1,324,0,68,NA,164,210,117.5,39,32.5,32.5,24,NA,2017-10-03,20.8275,3.388888889,2017-10-03,0
"10","B1",8,1,324,0,68,NA,332,454,259,45,25.5,25.5,21,NA,2017-12-06,7.62,4.230769231,2017-12-06,0
"11","B1",8,1,324,0,68,NA,272.5,434,212.5,27,33.5,33.5,35,NA,2018-01-23,5.286666667,3.233333333,2018-01-23,0
"12","B1",8,1,324,0,68,NA,214.5,297,132,30,27,27,24,NA,2018-02-08,10.17666667,2.85,2018-02-07,1
"13","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-07-23,0.99,0.77,2008-07-24,1
"14","P1",7,1,68,0,NA,9,211.333333333333,256.333333333333,109,83.6666666666667,21.6666666666667,NA,12,32,2009-01-06,1.121706795,0.793333333,2009-01-06,0
"15","P1",7,1,68,0,NA,8,228.333333333333,218,135.666666666667,152.666666666667,75,NA,60.6666666666667,32,2009-03-11,0.303512256,0.41,2009-03-12,1
"16","P1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-12-01,0.68,NA,2009-12-01,0
"17","P1",7,1,68,0,NA,8,316.333333333333,464,244.333333333333,147,74,NA,55.6666666666667,36,2010-06-02,1.609572266,NA,2010-06-03,1
"18","P1",7,1,68,0,NA,8.33333333333333,366,389.666666666667,331,305.333333333333,220.666666666667,NA,205.666666666667,36,2017-05-04,2.78625,1.16,2017-05-04,0
