"","Site","Sat","LINEAGEQA","PIXELQA","RADSATQA","SRAEROSOLQA","SRATMOSOPACITYQA","SRB1","SRB2","SRB3","SRB4","SRB5","SRB6","SRB7","SRCLOUDQA","SatDate","Chlorophyll","TSS","SampleDate","DayDif"
"1","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-01-29,1.697037871,13.75,2008-02-12,14
"2","B1",7,2,68,0,NA,16,313,358.5,291,181,54.5,NA,57.5,36,2008-04-02,4.94511786,2.355,2008-04-08,6
"3","B1",7,2,68,0,NA,8,266.5,366,232.5,108.5,48.5,NA,52,36,2008-06-05,12.33928779,NA,2008-06-03,2
"4","B1",7,1,68,0,NA,8,607.5,786,702.5,592,529,NA,463.5,36,2008-06-12,NA,6.075,2008-06-10,2
"5","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-07-07,2.863594485,1.445,2008-07-08,1
"6","B1",7,1,68,0,NA,9,311.5,344,254,207,128,NA,100.5,36,2008-07-30,4.804769649,1.977898551,2008-08-06,7
"7","B1",7,2,68,0,NA,9,295.5,258,153.5,93.5,44,NA,60.5,36,2008-09-09,3.938470091,1.14375,2008-09-08,1
"8","B1",7,1,68,0,NA,9,318.5,311.5,226,169,35.5,NA,39,36,2008-10-02,3.870153423,0.98,2008-10-07,5
"9","B1",7,1,68,0,NA,9,409,604,386,151,27,NA,NA,32,2008-11-03,NA,4.25,2008-11-04,1
"10","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-11-12,2.433603857,NA,2008-11-11,1
"11","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2008-12-05,3.284016156,5.25,2008-12-02,3
"12","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-01-06,1.678137059,6.9,2009-01-06,0
"13","B1",7,2,68,0,NA,13,322.5,436,228.5,114.5,46.5,NA,16,32,2009-01-31,108.0338933,9.25,2009-02-03,3
"14","B1",7,1,68,0,NA,8,202.5,262,155,169,61,NA,64.5,36,2009-03-11,152.7740611,NA,2009-03-03,8
"15","B1",7,1,68,0,NA,8,202.5,262,155,169,61,NA,64.5,36,2009-03-11,NA,3.3125,2009-03-12,1
"16","B1",7,2,68,0,NA,13,234.5,211,143,122,53.5,NA,22,36,2009-04-05,63.50909726,2.825,2009-04-07,2
"17","B1",7,2,68,0,NA,8,440,662,387,163,82,NA,42,18,2009-05-07,22.59796739,NA,2009-05-05,2
"18","B1",7,1,68,0,NA,8,636,772,689.5,617.5,575.5,NA,460,36,2009-06-15,42.91444778,NA,2009-06-02,13
"19","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-07-17,30.29164743,NA,2009-07-07,10
"20","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-08-02,27.79317988,NA,2009-08-04,2
"21","B1",7,2,68,0,NA,12,293.5,290.5,162,144,65,NA,46,36,2009-08-27,4.299673843,NA,2009-09-01,5
"22","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2009-09-28,3.547012241,NA,2009-10-06,8
"23","B1",7,2,224,0,NA,112,767,836,742,658.5,580,NA,446.5,32,2009-10-30,2.74286556,NA,2009-11-03,4
"24","B1",8,1,324,0,68,NA,226,445,339.5,38.5,14,14,14.5,NA,2017-03-09,32.7175,10.46,2017-03-07,2
"25","B1",8,2,324,0,68,NA,284.5,391.5,293,133,76.5,76.5,58.5,NA,2017-04-03,7.065,6.6,2017-04-04,1
"26","B1",7,1,68,0,NA,9,290,446.5,319.5,193,70.5,NA,41,36,2017-05-04,86.1,12.12,2017-05-04,0
"27","B1",7,2,68,0,NA,8,478,644.5,486.5,392.5,193.5,NA,179,36,2017-05-29,150.2375,15.8,2017-06-01,3
"28","B1",8,1,324,0,68,NA,647,728,667,617.5,555,555,448,NA,2017-07-15,16.1875,2.62,2017-07-13,2
"29","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-08-01,7.4325,1.68,2017-08-03,2
"30","B1",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2017-09-09,11.61,3.316666667,2017-09-07,2
"31","B1",8,1,324,0,68,NA,164,210,117.5,39,32.5,32.5,24,NA,2017-10-03,20.8275,3.388888889,2017-10-03,0
"32","B1",8,1,992,0,8,NA,607.5,677,569.5,551.5,566,566,489.5,NA,2017-11-20,5.2275,2.596153846,2017-11-17,3
"33","B1",8,1,324,0,68,NA,332,454,259,45,25.5,25.5,21,NA,2017-12-06,7.62,4.230769231,2017-12-06,0
