"","B1","P1","P4","S1","S2","S5"
"LE07_CU_007013_20070101_20170922_C01_V01_LINEAGEQA",1,1,1,2,2,2
"LE07_CU_007013_20070101_20170922_C01_V01_PIXELQA",68,68,68,68,68,68
"LE07_CU_007013_20070101_20170922_C01_V01_RADSATQA",0,0,0,0,0,0
"LE07_CU_007013_20070101_20170922_C01_V01_SRATMOSOPACITYQA",9,9,9,8,8,8
"LE07_CU_007013_20070101_20170922_C01_V01_SRB1",471,324,363.5,254.333333333333,313,249
"LE07_CU_007013_20070101_20170922_C01_V01_SRB2",635,292.666666666667,357.5,278,305.666666666667,272.5
"LE07_CU_007013_20070101_20170922_C01_V01_SRB3",443,163.666666666667,184.5,189.333333333333,235.333333333333,186
"LE07_CU_007013_20070101_20170922_C01_V01_SRB4",154,112,112,127.333333333333,194,153
"LE07_CU_007013_20070101_20170922_C01_V01_SRB5",73,73,34,72,97.3333333333333,53
"LE07_CU_007013_20070101_20170922_C01_V01_SRB7",18.5,38.6666666666667,NA,50.6666666666667,50.3333333333333,76
"LE07_CU_007013_20070101_20170922_C01_V01_SRCLOUDQA",32,32,32,32,32,32
"LE07_CU_007013_20070117_20170922_C01_V01_LINEAGEQA",1,1,1,NA,2,2
"LE07_CU_007013_20070117_20170922_C01_V01_PIXELQA",68,68,68,NA,68,68
"LE07_CU_007013_20070117_20170922_C01_V01_RADSATQA",0,0,0,NA,0,0
"LE07_CU_007013_20070117_20170922_C01_V01_SRATMOSOPACITYQA",8,9,9,NA,8,8
"LE07_CU_007013_20070117_20170922_C01_V01_SRB1",492.5,315.333333333333,307,NA,236.666666666667,286
"LE07_CU_007013_20070117_20170922_C01_V01_SRB2",709,305,306,NA,273,274
"LE07_CU_007013_20070117_20170922_C01_V01_SRB3",567.5,168,168.5,NA,225.333333333333,183.5
"LE07_CU_007013_20070117_20170922_C01_V01_SRB4",182,117.666666666667,105,NA,180.666666666667,181
"LE07_CU_007013_20070117_20170922_C01_V01_SRB5",105,56.6666666666667,32,NA,128,104
"LE07_CU_007013_20070117_20170922_C01_V01_SRB7",55,36.3333333333333,55,NA,121.333333333333,54
"LE07_CU_007013_20070117_20170922_C01_V01_SRCLOUDQA",32,32,32,0,32,32
"LE07_CU_007013_20070126_20170922_C01_V01_LINEAGEQA",2,NA,NA,2,2,NA
"LE07_CU_007013_20070126_20170922_C01_V01_PIXELQA",68,NA,NA,68,68,NA
"LE07_CU_007013_20070126_20170922_C01_V01_RADSATQA",0,NA,NA,0,0,NA
"LE07_CU_007013_20070126_20170922_C01_V01_SRATMOSOPACITYQA",9,NA,NA,19,19,NA
